date,fund,asset,weight
2021-07-01,Combined Max-Sharpe,EQ_DD,0.0
2021-07-01,Combined Max-Sharpe,EQ_DIS,0.0
2021-07-01,Combined Max-Sharpe,EQ_DOW,0.0
2021-07-01,Combined Max-Sharpe,EQ_DUK,0.0
2021-07-01,Combined Max-Sharpe,EQ_EA,0.0
2021-07-01,Combined Max-Sharpe,EQ_GE,0.09029878904020097
2021-07-01,Combined Max-Sharpe,EQ_GILD,1.9939906327490036e-17
2021-07-01,Combined Max-Sharpe,EQ_GS,0.1512570015338103
2021-07-01,Combined Max-Sharpe,EQ_INTC,4.3029160610050454e-17
2021-07-01,Combined Max-Sharpe,EQ_KO,0.0
2021-07-01,Combined Max-Sharpe,EQ_MMM,0.0
2021-07-01,Combined Max-Sharpe,EQ_MRK,0.0
2021-07-01,Combined Max-Sharpe,EQ_MS,0.018459922609660975
2021-07-01,Combined Max-Sharpe,EQ_NEE,0.0
2021-07-01,Combined Max-Sharpe,EQ_NEM,3.598389118825078e-17
2021-07-01,Combined Max-Sharpe,EQ_NKE,0.06371915734165665
2021-07-01,Combined Max-Sharpe,EQ_NUE,0.06764132186097688
2021-07-01,Combined Max-Sharpe,EQ_NVDA,0.07307791920257427
2021-07-01,Combined Max-Sharpe,EQ_O,0.0
2021-07-01,Combined Max-Sharpe,EQ_OXY,1.5466889838062495e-17
