date,sector,fg_index,n_headlines
2023-03-06,Consumer,49.66285714285714,28
2023-03-07,Consumer,56.22071428571429,21
2023-03-08,Consumer,52.78818181818181,11
2023-03-09,Consumer,56.70904761904761,21
2023-03-10,Consumer,51.70238095238095,21
2023-03-13,Consumer,54.22646341463414,41
2023-03-14,Consumer,54.03736842105263,19
2023-03-15,Consumer,53.788,20
2023-03-16,Consumer,47.32233333333333,15
2023-03-17,Consumer,52.019999999999996,17
2023-03-20,Consumer,53.54596153846153,26
2023-03-21,Consumer,59.26285714285714,21
2023-03-22,Consumer,48.8555,30
2023-03-23,Consumer,54.024249999999995,20
2023-03-24,Consumer,52.99066666666667,15
2023-03-27,Consumer,57.167931034482756,29
2023-03-28,Consumer,57.85113636363636,22
2023-03-29,Consumer,54.91583333333333,24
2023-03-30,Consumer,53.11038461538462,26
2023-03-31,Consumer,53.24770833333333,24
2023-04-03,Consumer,55.80159574468085,47
2023-04-04,Consumer,52.982692307692304,13
2023-04-05,Consumer,51.93175,20
2023-04-06,Consumer,52.76538461538462,26
2023-04-10,Consumer,52.849428571428575,35
2023-04-11,Consumer,54.252500000000005,18
2023-04-12,Consumer,51.691250000000004,20
2023-04-13,Consumer,49.82065217391305,23
2023-04-14,Consumer,51.3384375,16
2023-04-17,Consumer,49.40512820512821,39
2023-04-18,Consumer,53.8297619047619,21
2023-04-19,Consumer,54.0,28
2023-04-20,Consumer,53.03568181818182,22
2023-04-21,Consumer,56.033181818181816,22
2023-04-24,Consumer,55.94945652173914,46
2023-04-25,Consumer,54.906166666666664,30
2023-04-26,Consumer,52.322105263157894,38
2023-04-27,Consumer,49.268,25
2023-04-28,Consumer,51.799107142857146,28
2023-05-01,Consumer,51.700294117647054,34
2023-05-02,Consumer,50.65423076923077,26
2023-05-03,Consumer,53.235,25
2023-05-04,Consumer,48.68687500000001,24
2023-05-05,Consumer,50.18714285714286,14
2023-05-08,Consumer,53.1208064516129,31
2023-05-09,Consumer,50.76307692307692,26
2023-05-10,Consumer,51.517799999999994,25
2023-05-11,Consumer,51.41263157894737,38
2023-05-12,Consumer,51.925666666666665,30
2023-05-15,Consumer,50.729375,40
2023-05-16,Consumer,50.130961538461534,26
2023-05-17,Consumer,53.732741935483865,31
2023-05-18,Consumer,53.33155555555556,45
2023-05-19,Consumer,51.295930232558135,43
2023-05-22,Consumer,52.91532608695652,46
2023-05-23,Consumer,48.95605263157895,19
2023-05-24,Consumer,49.270681818181814,22
2023-05-25,Consumer,52.603571428571435,14
2023-05-26,Consumer,53.700937499999995,16
2023-05-30,Consumer,50.50560975609756,41
2023-05-31,Consumer,53.81166666666667,24
2023-06-01,Consumer,52.4476,25
2023-06-02,Consumer,50.55705882352941,17
2023-06-05,Consumer,53.030270270270265,37
2023-06-06,Consumer,53.713235294117645,17
2023-06-07,Consumer,52.552678571428565,28
2023-06-08,Consumer,53.42717391304348,23
2023-06-09,Consumer,52.933749999999996,20
2023-06-12,Consumer,53.3078125,32
2023-06-13,Consumer,51.464000000000006,15
2023-06-14,Consumer,53.15383333333333,30
2023-06-15,Consumer,51.9262,25
2023-06-16,Consumer,51.26642857142857,14
2023-06-20,Consumer,48.49369047619048,42
2023-06-21,Consumer,54.53076923076923,26
2023-06-22,Consumer,55.572272727272725,33
2023-06-23,Consumer,49.865,33
2023-06-26,Consumer,50.439142857142855,35
2023-06-27,Consumer,55.510000000000005,19
2023-06-28,Consumer,54.87305555555556,18
2023-06-29,Consumer,55.37015625,32
2023-06-30,Consumer,54.39540816326531,49
2023-07-03,Consumer,50.323166666666665,30
2023-07-05,Consumer,54.389310344827585,29
2023-07-06,Consumer,54.95275,20
2023-07-07,Consumer,51.6435294117647,17
2023-07-10,Consumer,52.67074074074074,27
2023-07-11,Consumer,51.82655172413793,29
2023-07-12,Consumer,53.24551724137932,29
2023-07-13,Consumer,55.02225806451613,31
2023-07-14,Consumer,55.59739130434782,23
2023-07-17,Consumer,51.43890625,32
2023-07-18,Consumer,51.61933333333333,30
2023-07-19,Consumer,56.184749999999994,20
2023-07-20,Consumer,55.782954545454544,22
2023-07-21,Consumer,54.258947368421055,19
2023-07-24,Consumer,54.58308823529412,34
2023-07-25,Consumer,55.08730769230769,26
2023-07-26,Consumer,53.08430555555556,36
2023-07-27,Consumer,55.123409090909085,22
2023-07-28,Consumer,53.59970588235294,17
2023-07-31,Consumer,54.6884,50
2023-08-01,Consumer,54.93944444444445,27
2023-08-02,Consumer,50.48887096774193,31
2023-08-03,Consumer,52.92952380952381,21
2023-08-04,Consumer,51.28818181818181,22
2023-08-07,Consumer,53.205000000000005,30
2023-08-08,Consumer,53.51413793103448,29
2023-08-09,Consumer,52.00555555555556,54
2023-08-10,Consumer,56.318552631578946,38
2023-08-11,Consumer,53.50132352941176,34
2023-08-14,Consumer,55.38259615384615,52
2023-08-15,Consumer,50.94265625,32
2023-08-16,Consumer,55.11642857142857,35
2023-08-17,Consumer,53.19656862745098,51
2023-08-18,Consumer,51.728625,40
2023-08-21,Consumer,51.533125,40
2023-08-22,Consumer,55.047291666666666,24
2023-08-23,Consumer,54.754999999999995,35
2023-08-24,Consumer,51.50738095238095,42
2023-08-25,Consumer,53.331896551724135,29
2023-08-28,Consumer,52.08462962962963,27
2023-08-29,Consumer,58.94442307692308,26
2023-08-30,Consumer,49.911,25
2023-08-31,Consumer,51.94583333333333,24
2023-09-01,Consumer,53.70173913043479,23
2023-09-05,Consumer,51.8603947368421,38
2023-09-06,Consumer,54.41777777777778,27
2023-09-07,Consumer,51.88307692307693,26
2023-09-08,Consumer,53.715769230769226,26
2023-09-11,Consumer,54.181973684210526,38
2023-09-12,Consumer,50.843,25
2023-09-13,Consumer,55.92431818181819,22
2023-09-14,Consumer,51.71416666666667,24
2023-09-15,Consumer,57.87316666666666,30
2023-09-18,Consumer,54.54,31
2023-09-19,Consumer,51.17138888888889,36
2023-09-20,Consumer,46.09983870967742,31
2023-09-21,Consumer,51.06758064516129,31
2023-09-22,Consumer,56.49956521739131,23
2023-09-25,Consumer,50.85066666666667,60
2023-09-26,Consumer,55.428970588235295,34
2023-09-27,Consumer,52.20249999999999,22
2023-09-28,Consumer,53.38306451612903,31
2023-09-29,Consumer,57.07622807017543,57
2023-10-02,Consumer,52.3118085106383,47
2023-10-03,Consumer,56.49875,16
2023-10-04,Consumer,53.50413043478261,23
2023-10-05,Consumer,52.79227272727273,22
2023-10-06,Consumer,51.692352941176466,34
2023-10-09,Consumer,54.14602040816327,49
2023-10-10,Consumer,52.73467741935484,31
2023-10-11,Consumer,52.18465517241379,29
2023-10-12,Consumer,53.91288461538461,26
2023-10-13,Consumer,54.11558823529412,17
2023-10-16,Consumer,56.41708333333334,36
2023-10-17,Consumer,54.81041666666667,24
2023-10-18,Consumer,54.674615384615386,26
2023-10-19,Consumer,50.11925925925926,27
2023-10-20,Consumer,52.27136363636364,11
2023-10-23,Consumer,54.217441860465115,43
2023-10-24,Consumer,58.6654,50
2023-10-25,Consumer,51.16842857142857,35
2023-10-26,Consumer,54.91660714285714,28
2023-10-27,Consumer,53.25722222222222,27
2023-10-30,Consumer,55.10446808510638,47
2023-10-31,Consumer,57.532631578947374,19
2023-11-01,Consumer,60.27015151515151,33
2023-11-02,Consumer,59.385,41
2023-11-03,Consumer,55.01583333333334,24
2023-11-06,Consumer,53.68,47
2023-11-07,Consumer,54.170833333333334,36
2023-11-08,Consumer,54.51397058823529,34
2023-11-09,Consumer,53.899342105263166,38
2023-11-10,Consumer,54.70379310344828,29
2023-11-13,Consumer,54.068703703703704,54
2023-11-14,Consumer,53.082121212121216,33
2023-11-15,Consumer,57.24704545454545,44
2023-11-16,Consumer,52.051700000000004,50
2023-11-17,Consumer,51.63238095238095,21
2023-11-20,Consumer,50.14612903225807,31
2023-11-21,Consumer,56.153,25
2023-11-22,Consumer,52.06673913043478,23
2023-11-24,Consumer,54.377941176470586,34
2023-11-27,Consumer,51.479351851851845,54
2023-11-28,Consumer,53.3228947368421,19
2023-11-29,Consumer,53.295,28
2023-11-30,Consumer,54.76796296296296,27
2023-12-01,Consumer,54.80222222222223,18
2023-12-04,Consumer,54.37911764705882,34
2023-12-05,Consumer,55.7365625,16
2023-12-06,Consumer,49.933846153846154,26
2023-12-07,Consumer,59.17289473684211,19
2023-12-08,Consumer,50.67652173913043,23
2023-12-11,Consumer,53.60987804878049,41
2023-12-12,Consumer,52.378,20
2023-12-13,Consumer,51.348958333333336,24
2023-12-14,Consumer,49.55409090909091,22
2023-12-15,Consumer,52.926944444444445,18
2023-12-18,Consumer,49.70636363636363,22
2020-01-02,Energy,51.441428571428574,21
2020-01-03,Energy,46.200714285714284,28
2020-01-06,Energy,49.73,34
2020-01-07,Energy,49.004583333333336,12
2020-01-08,Energy,44.85617647058823,17
2020-01-09,Energy,49.4685,10
